epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3459,3.53371,5.7358,4.26576,0,0,0,0,3.49043,5.32896,4.1582,3.689e-05,3.689e-05,3.689e-05
2,16.5704,3.54654,5.72818,4.25741,0,0,0,0,3.48786,5.32902,4.15841,6.01259e-05,6.01259e-05,6.01259e-05
3,22.6569,3.55465,5.72421,4.23911,0,0,0,0,3.48424,5.32803,4.15844,6.82822e-05,6.82822e-05,6.82822e-05
4,28.7859,3.64769,5.7672,4.2419,0,0,0,0,3.47431,5.32237,4.15679,4.8314e-05,4.8314e-05,4.8314e-05
5,35.1204,3.58852,5.75128,4.23283,0,0,0,0,3.44925,5.30587,4.16109,2.4752e-05,2.4752e-05,2.4752e-05
