epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,77.6334,2.07964,4.01633,2.03175,0.05701,0.10449,0.07115,0.04956,2.13201,3.68062,2.11812,2.85609e-05,2.85609e-05,2.85609e-05
40,79.3282,2.16089,3.94436,2.08985,0.05968,0.11391,0.07354,0.05179,2.10964,3.62441,2.10125,2.61809e-05,2.61809e-05,2.61809e-05
41,82.2863,2.18132,4.3156,2.07084,0.04789,0.12823,0.07871,0.05512,2.07341,3.59216,2.07214,2.3801e-05,2.3801e-05,2.3801e-05
42,84.2034,2.22594,4.34609,2.08057,0.06213,0.14396,0.09658,0.05465,2.09047,3.61305,2.07957,2.1421e-05,2.1421e-05,2.1421e-05
43,85.9646,2.17405,4.32175,2.07372,0.05985,0.15064,0.09102,0.05344,2.10604,3.5962,2.0676,1.9041e-05,1.9041e-05,1.9041e-05
44,87.7816,2.16291,4.23198,2.06774,0.05579,0.1458,0.0882,0.05398,2.08238,3.56278,2.03517,1.6661e-05,1.6661e-05,1.6661e-05
45,89.5686,2.17015,4.32561,2.03187,0.0449,0.14648,0.08406,0.05325,2.08031,3.52586,2.01349,1.4281e-05,1.4281e-05,1.4281e-05
46,91.3428,2.18587,4.26407,2.03821,0.04393,0.14733,0.08333,0.05387,2.10334,3.50521,2.01051,1.19011e-05,1.19011e-05,1.19011e-05
47,93.2213,2.15586,4.23735,2.06456,0.04674,0.15672,0.08471,0.0541,2.0918,3.48652,2.00257,9.52109e-06,9.52109e-06,9.52109e-06
48,95.0237,2.15814,4.26815,2.03703,0.04525,0.16503,0.08512,0.05483,2.06681,3.47451,1.98686,7.14112e-06,7.14112e-06,7.14112e-06
49,96.705,2.09673,4.16811,1.99209,0.0431,0.16886,0.08689,0.05476,2.05187,3.46918,1.9787,4.76114e-06,4.76114e-06,4.76114e-06
50,98.453,2.1583,4.18179,2.0275,0.04294,0.17746,0.08946,0.05635,2.04611,3.4643,1.97753,2.38117e-06,2.38117e-06,2.38117e-06
