epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.892,1.83837,3.68751,1.68606,0.18415,0.34566,0.1952,0.10615,1.85806,2.36413,1.74417,0.00332984,0.00332984,0.00332984
2,221.371,1.79553,2.78421,1.62528,0.3192,0.31611,0.26688,0.14755,1.92443,2.41615,1.84517,0.00659721,0.00659721,0.00659721
3,323.53,1.84489,2.57725,1.64832,0.29191,0.36049,0.27231,0.14488,1.93553,2.30815,1.86609,0.00979858,0.00979858,0.00979858
4,425.7,1.8791,2.38602,1.67675,0.47817,0.3768,0.36644,0.20447,1.88896,2.03853,1.80184,0.009703,0.009703,0.009703
5,528.113,1.81613,2.13534,1.63087,0.50653,0.43422,0.4423,0.25352,1.8461,1.87074,1.74878,0.009604,0.009604,0.009604
6,632.107,1.78758,1.99905,1.60061,0.52311,0.50438,0.5139,0.30537,1.8031,1.79859,1.7112,0.009505,0.009505,0.009505
7,735.196,1.75123,1.90264,1.57199,0.57681,0.50577,0.51629,0.32185,1.76253,1.74809,1.65483,0.009406,0.009406,0.009406
8,838.474,1.72129,1.83268,1.5533,0.56109,0.56081,0.56343,0.35105,1.72341,1.61208,1.6165,0.009307,0.009307,0.009307
9,941.447,1.70889,1.76502,1.53513,0.60292,0.61019,0.61883,0.38292,1.72613,1.5598,1.62444,0.009208,0.009208,0.009208
10,1043.47,1.67373,1.7073,1.51397,0.5855,0.59708,0.62049,0.4016,1.6941,1.5359,1.58243,0.009109,0.009109,0.009109
11,1146.7,1.65985,1.66119,1.50536,0.64048,0.61777,0.65698,0.42627,1.65107,1.44905,1.55121,0.00901,0.00901,0.00901
12,1248.96,1.65128,1.62094,1.48202,0.65274,0.62999,0.66954,0.43895,1.65702,1.45165,1.54572,0.008911,0.008911,0.008911
13,1351.69,1.63155,1.58408,1.47459,0.66638,0.62859,0.68644,0.45051,1.63373,1.39051,1.52666,0.008812,0.008812,0.008812
14,1455.05,1.62585,1.54451,1.46277,0.69011,0.65807,0.71117,0.46597,1.62489,1.37278,1.51643,0.008713,0.008713,0.008713
15,1556.91,1.60835,1.50698,1.45251,0.70138,0.65197,0.71638,0.48089,1.61157,1.31297,1.50642,0.008614,0.008614,0.008614
16,1659.73,1.59708,1.48719,1.44792,0.71617,0.65923,0.73344,0.49308,1.59858,1.30002,1.48765,0.008515,0.008515,0.008515
17,1763.3,1.59322,1.45186,1.43256,0.71836,0.70925,0.7563,0.51386,1.57895,1.2645,1.47877,0.008416,0.008416,0.008416
18,1866.55,1.57561,1.4272,1.427,0.72969,0.70489,0.76889,0.52381,1.56967,1.2246,1.46968,0.008317,0.008317,0.008317
19,1970.35,1.56954,1.4102,1.4168,0.72343,0.71603,0.76857,0.5202,1.55805,1.22664,1.45172,0.008218,0.008218,0.008218
20,2074.31,1.55828,1.39628,1.41137,0.74343,0.72807,0.77734,0.52626,1.54512,1.17878,1.44855,0.008119,0.008119,0.008119
21,2177.48,1.54715,1.35591,1.40206,0.75687,0.73827,0.79629,0.54931,1.52558,1.18027,1.43241,0.00802,0.00802,0.00802
22,2281.74,1.53348,1.35356,1.3933,0.75728,0.74068,0.80658,0.57118,1.50594,1.13234,1.42068,0.007921,0.007921,0.007921
23,2383.71,1.5314,1.33711,1.39541,0.78199,0.75514,0.8064,0.5629,1.50513,1.1157,1.42002,0.007822,0.007822,0.007822
24,2487.62,1.52926,1.31405,1.39242,0.77213,0.74989,0.80693,0.56667,1.49528,1.10751,1.41011,0.007723,0.007723,0.007723
25,2591.25,1.51895,1.2991,1.38524,0.7579,0.75393,0.81096,0.57094,1.47928,1.08986,1.38963,0.007624,0.007624,0.007624
26,2693.06,1.50558,1.28052,1.37044,0.78348,0.76993,0.82143,0.57589,1.47879,1.0763,1.39061,0.007525,0.007525,0.007525
27,2796.03,1.48221,1.26527,1.367,0.79338,0.75941,0.82776,0.58862,1.45244,1.06349,1.37463,0.007426,0.007426,0.007426
28,2900.6,1.48005,1.24312,1.35735,0.77084,0.78832,0.83224,0.58924,1.4626,1.04002,1.37656,0.007327,0.007327,0.007327
29,3003.97,1.47116,1.22539,1.34925,0.79141,0.77621,0.82775,0.59034,1.44635,1.02406,1.36766,0.007228,0.007228,0.007228
30,3106.99,1.46672,1.21325,1.34401,0.77782,0.78892,0.83917,0.60182,1.43249,1.00789,1.35419,0.007129,0.007129,0.007129
31,3210.38,1.45988,1.1942,1.33954,0.80143,0.78028,0.84715,0.6115,1.41822,0.99774,1.3451,0.00703,0.00703,0.00703
32,3312.66,1.45522,1.18933,1.33963,0.80778,0.7831,0.85144,0.61535,1.41316,0.9726,1.33965,0.006931,0.006931,0.006931
33,3416.54,1.45269,1.18467,1.33387,0.81104,0.78992,0.85395,0.61467,1.41708,0.96941,1.33985,0.006832,0.006832,0.006832
34,3519.05,1.44067,1.16013,1.32671,0.8096,0.79726,0.85427,0.62007,1.4049,0.96315,1.32941,0.006733,0.006733,0.006733
35,3621.66,1.43481,1.15072,1.32285,0.82177,0.7964,0.85978,0.62901,1.38967,0.95021,1.31824,0.006634,0.006634,0.006634
36,3725.78,1.42799,1.14079,1.31896,0.82986,0.80219,0.87065,0.63701,1.38381,0.9363,1.31446,0.006535,0.006535,0.006535
37,3830.45,1.41947,1.11748,1.31085,0.82635,0.80649,0.86667,0.63216,1.37961,0.92224,1.30619,0.006436,0.006436,0.006436
38,3934.41,1.41217,1.11174,1.3014,0.82961,0.81434,0.87527,0.64219,1.36467,0.90492,1.29554,0.006337,0.006337,0.006337
39,4036.53,1.4065,1.11424,1.30072,0.82882,0.81198,0.87314,0.6434,1.35716,0.91268,1.29224,0.006238,0.006238,0.006238
40,4141.72,1.39745,1.09945,1.30166,0.8238,0.81046,0.87569,0.64819,1.35104,0.89901,1.28924,0.006139,0.006139,0.006139
41,4248.18,1.39578,1.08743,1.29658,0.82604,0.82042,0.87952,0.65141,1.3419,0.89352,1.28288,0.00604,0.00604,0.00604
42,4351.53,1.39053,1.08424,1.29502,0.8352,0.81406,0.8803,0.65215,1.33446,0.89013,1.28104,0.005941,0.005941,0.005941
43,4453.07,1.39034,1.07551,1.28429,0.82993,0.8205,0.88022,0.65289,1.33183,0.88511,1.27575,0.005842,0.005842,0.005842
44,4556.67,1.3752,1.05885,1.28359,0.84483,0.80867,0.88321,0.65738,1.32596,0.87378,1.26987,0.005743,0.005743,0.005743
45,4660.08,1.36865,1.04902,1.27869,0.82081,0.83409,0.88393,0.66015,1.31689,0.86425,1.26301,0.005644,0.005644,0.005644
46,4763.2,1.36609,1.04865,1.28205,0.83225,0.83325,0.88445,0.66268,1.31075,0.86018,1.25889,0.005545,0.005545,0.005545
47,4866.69,1.36254,1.03533,1.2722,0.81705,0.83982,0.88611,0.66644,1.30774,0.85376,1.25742,0.005446,0.005446,0.005446
48,4972.69,1.35269,1.03096,1.26958,0.83795,0.82445,0.88511,0.66667,1.30327,0.85434,1.25403,0.005347,0.005347,0.005347
49,5076.05,1.34728,1.01235,1.26219,0.83772,0.83773,0.88688,0.66802,1.29847,0.84871,1.25157,0.005248,0.005248,0.005248
