epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6797,3.53046,5.73868,4.26533,0,0,0,0,3.49096,5.32868,4.15821,3.689e-05,3.689e-05,3.689e-05
2,18.3992,3.54539,5.72734,4.25498,0,0,0,0,3.4872,5.32921,4.15844,6.01259e-05,6.01259e-05,6.01259e-05
3,23.927,3.55462,5.72126,4.23958,0,0,0,0,3.48379,5.32865,4.15836,6.82822e-05,6.82822e-05,6.82822e-05
4,29.7639,3.64951,5.76793,4.2448,0,0,0,0,3.47271,5.3228,4.15691,4.8314e-05,4.8314e-05,4.8314e-05
5,35.3584,3.59342,5.74867,4.22742,0,0,0,0,3.44662,5.30539,4.16263,2.4752e-05,2.4752e-05,2.4752e-05
