epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.8092,3.5359,5.7346,4.26603,0,0,0,0,3.49052,5.32788,4.15834,3.689e-05,3.689e-05,3.689e-05
2,19.9505,3.54214,5.72369,4.25492,0,0,0,0,3.48729,5.32957,4.15861,6.01259e-05,6.01259e-05,6.01259e-05
3,26.4672,3.55943,5.7241,4.23825,0,0,0,0,3.48374,5.32851,4.15894,6.82822e-05,6.82822e-05,6.82822e-05
4,32.8051,3.65178,5.77111,4.24638,0,0,0,0,3.4726,5.3229,4.15759,4.8314e-05,4.8314e-05,4.8314e-05
5,38.9029,3.58826,5.75258,4.22667,0,0,0,0,3.44746,5.30516,4.164,2.4752e-05,2.4752e-05,2.4752e-05
