epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.81202,5.77031,35.3951,4.2597,0,0.02347,6e-05,3e-05,4.92808,46.0855,4.15214,0.0973,0.0003,0.0003
2,9.91043,6.01292,38.3145,4.28345,1e-05,0.02347,0.00054,6e-05,4.9248,45.9383,4.14927,0.093469,0.000469,0.000469
3,14.4459,5.83146,35.0102,4.2684,4e-05,0.0273,0.00082,9e-05,4.92331,45.7478,4.1446,0.089374,0.000374,0.000374
