epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.424,5.42222,14.1143,3.5926,0.00197,0.16547,0.00133,0.00065,nan,nan,nan,0.0700628,0.00332636,0.00332636
2,342.252,4.09962,3.87936,2.46396,0.11116,0.05076,0.0183,0.00591,3.91501,3.38069,2.08163,0.0378651,0.00446199,0.00446199
3,496.682,3.25452,3.28066,1.96478,0.17176,0.10167,0.04749,0.01958,3.50934,2.97383,1.79739,0.00346736,0.00339763,0.00339763
