epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.8432,3.53239,5.73339,4.26728,0,0,0,0,3.49087,5.32867,4.15819,3.689e-05,3.689e-05,3.689e-05
2,103.368,3.54923,5.7223,4.25839,0,0,0,0,3.48758,5.32895,4.15841,6.01259e-05,6.01259e-05,6.01259e-05
3,137.375,3.5545,5.72586,4.2345,0,0,0,0,3.48553,5.32833,4.15868,6.82822e-05,6.82822e-05,6.82822e-05
4,176.002,3.64758,5.7708,4.24314,0,0,0,0,3.47395,5.32259,4.15714,4.8314e-05,4.8314e-05,4.8314e-05
5,207.184,3.58765,5.75536,4.23164,0,0,0,0,3.44906,5.30428,4.16174,2.4752e-05,2.4752e-05,2.4752e-05
