epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,114.656,2.30055,2.75851,1.94301,0.45705,0.457,0.42184,0.22075,1.9975,2.06617,1.75097,0.00332984,0.00332984,0.00332984
2,225.067,1.86241,1.91201,1.58252,0.56981,0.60306,0.61288,0.36772,1.7792,1.61443,1.57794,0.00652991,0.00652991,0.00652991
3,331.61,1.75919,1.70196,1.5008,0.67536,0.58411,0.64102,0.39873,1.76428,1.51673,1.55264,0.00959665,0.00959665,0.00959665
4,437.141,1.71124,1.61012,1.46836,0.64675,0.66932,0.692,0.43912,1.71115,1.3517,1.50528,0.00940001,0.00940001,0.00940001
5,543.173,1.64131,1.47463,1.42481,0.73079,0.67162,0.74762,0.48752,1.63326,1.26408,1.46293,0.00920001,0.00920001,0.00920001
6,649.463,1.60697,1.4005,1.39866,0.75386,0.70001,0.77491,0.51137,1.61269,1.21742,1.45025,0.00900001,0.00900001,0.00900001
7,754.395,1.56579,1.34141,1.37121,0.77342,0.71397,0.79111,0.53542,1.57138,1.18229,1.40658,0.00880001,0.00880001,0.00880001
8,862.825,1.5408,1.28958,1.36084,0.75847,0.74182,0.80043,0.54897,1.54186,1.1315,1.39214,0.00860001,0.00860001,0.00860001
9,968.215,1.5223,1.25512,1.3465,0.81275,0.7291,0.81053,0.55146,1.53528,1.1039,1.3865,0.00840002,0.00840002,0.00840002
10,1074.5,1.49462,1.21384,1.33313,0.78249,0.73405,0.80999,0.56093,1.50339,1.09006,1.36879,0.00820002,0.00820002,0.00820002
11,1180.79,1.47308,1.18802,1.32372,0.80169,0.74781,0.82433,0.57239,1.49471,1.04362,1.35053,0.00800002,0.00800002,0.00800002
12,1287.14,1.46785,1.168,1.31032,0.77129,0.76895,0.8256,0.58109,1.48041,1.04115,1.35192,0.00780002,0.00780002,0.00780002
13,1394.63,1.45125,1.14607,1.30677,0.80017,0.76167,0.8331,0.58854,1.43918,1.02003,1.33412,0.00760002,0.00760002,0.00760002
14,1499.76,1.44384,1.12432,1.29782,0.80547,0.79347,0.84398,0.59659,1.45135,0.9797,1.33847,0.00740003,0.00740003,0.00740003
15,1602.76,1.42736,1.10314,1.28635,0.78882,0.80754,0.84932,0.60636,1.43269,0.96438,1.31457,0.00720003,0.00720003,0.00720003
