epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.7158,1.97965,3.76716,1.40892,0.13272,0.22702,0.1016,0.04944,2.28576,2.55093,1.38652,0.00332984,0.00332984,0.00332984
2,180.531,1.97152,2.52469,1.36829,0.20695,0.29005,0.16072,0.08227,2.31063,2.29512,1.40495,0.00659721,0.00659721,0.00659721
3,260.907,1.99975,2.42502,1.39811,0.19205,0.26055,0.14101,0.06809,2.41484,2.49024,1.46876,0.00979858,0.00979858,0.00979858
4,336.972,2.04147,2.40086,1.4239,0.34958,0.30669,0.22704,0.11401,2.27883,2.15715,1.43813,0.009703,0.009703,0.009703
5,413.689,1.96149,2.22794,1.38137,0.30483,0.39819,0.27253,0.15029,2.17164,2.01729,1.33937,0.009604,0.009604,0.009604
6,492.778,1.90965,2.12782,1.35399,0.37693,0.38479,0.32122,0.17986,2.11563,1.91731,1.34167,0.009505,0.009505,0.009505
7,571.984,1.8663,2.02325,1.33992,0.39425,0.37353,0.35242,0.19898,2.08547,1.84213,1.30278,0.009406,0.009406,0.009406
8,649.893,1.83727,1.95587,1.32407,0.42123,0.45067,0.39775,0.23992,2.07497,1.79891,1.30689,0.009307,0.009307,0.009307
9,728.053,1.82424,1.90756,1.30938,0.51183,0.45247,0.44323,0.27424,2.02203,1.70548,1.28639,0.009208,0.009208,0.009208
10,811.073,1.79911,1.8662,1.30116,0.50394,0.45631,0.44038,0.26873,2.00984,1.68021,1.28623,0.009109,0.009109,0.009109
11,890.177,1.76292,1.81241,1.29146,0.51817,0.45715,0.45667,0.2848,1.97218,1.63204,1.26023,0.00901,0.00901,0.00901
12,966.999,1.75558,1.77187,1.27911,0.48965,0.4774,0.47915,0.3095,1.94347,1.60686,1.24824,0.008911,0.008911,0.008911
13,1045.41,1.74563,1.74636,1.27308,0.54302,0.46639,0.48075,0.29862,1.94366,1.58722,1.26081,0.008812,0.008812,0.008812
14,1121.91,1.73705,1.70624,1.26661,0.53174,0.49207,0.5035,0.31764,1.94578,1.56266,1.2393,0.008713,0.008713,0.008713
15,1201.41,1.72753,1.67951,1.25858,0.55747,0.48699,0.50321,0.31951,1.9406,1.55577,1.22429,0.008614,0.008614,0.008614
16,1280.65,1.71737,1.67582,1.25717,0.5838,0.49586,0.51544,0.32842,1.89487,1.54792,1.22078,0.008515,0.008515,0.008515
17,1358.7,1.71297,1.63357,1.24629,0.61767,0.52947,0.54935,0.35198,1.91288,1.4746,1.21695,0.008416,0.008416,0.008416
18,1440.77,1.69025,1.6264,1.24093,0.58091,0.52491,0.54996,0.35799,1.8662,1.47183,1.19634,0.008317,0.008317,0.008317
19,1519.01,1.68956,1.59095,1.23807,0.62819,0.51983,0.57415,0.37935,1.86904,1.42874,1.1961,0.008218,0.008218,0.008218
20,1597.58,1.67874,1.58172,1.23103,0.63419,0.52971,0.57621,0.37612,1.85495,1.42664,1.18244,0.008119,0.008119,0.008119
21,1675.99,1.67488,1.56862,1.22886,0.66107,0.53231,0.59278,0.38921,1.84395,1.41309,1.17581,0.00802,0.00802,0.00802
22,1752.89,1.66302,1.55436,1.22718,0.65114,0.54533,0.59815,0.39635,1.82794,1.37506,1.1734,0.007921,0.007921,0.007921
23,1827.16,1.65743,1.53411,1.22255,0.64125,0.56799,0.59762,0.39784,1.82373,1.36058,1.16963,0.007822,0.007822,0.007822
24,1905.17,1.65198,1.52288,1.21907,0.65755,0.56208,0.60612,0.40189,1.81648,1.34345,1.16831,0.007723,0.007723,0.007723
25,1982.16,1.63527,1.50115,1.21761,0.65661,0.53552,0.59597,0.39919,1.81947,1.34506,1.16325,0.007624,0.007624,0.007624
26,2057.57,1.63466,1.48937,1.21149,0.67252,0.55439,0.61111,0.4101,1.78942,1.31667,1.15536,0.007525,0.007525,0.007525
27,2135.54,1.60727,1.46949,1.2045,0.67727,0.55668,0.61398,0.41557,1.77574,1.31794,1.14648,0.007426,0.007426,0.007426
28,2212.72,1.62269,1.46663,1.20774,0.70219,0.56641,0.62893,0.42299,1.78733,1.29978,1.14863,0.007327,0.007327,0.007327
29,2290.35,1.61295,1.4493,1.20034,0.72238,0.56159,0.63049,0.42787,1.76618,1.28187,1.14167,0.007228,0.007228,0.007228
30,2368.51,1.60492,1.43145,1.19859,0.72752,0.56955,0.63802,0.43197,1.75892,1.26448,1.13991,0.007129,0.007129,0.007129
31,2444.44,1.59242,1.41995,1.1884,0.70897,0.5757,0.64259,0.4396,1.74024,1.25558,1.13099,0.00703,0.00703,0.00703
32,2521.1,1.58998,1.42078,1.19266,0.70457,0.5855,0.64757,0.445,1.74065,1.24583,1.12874,0.006931,0.006931,0.006931
