epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.3692,3.54155,5.74195,4.26648,0,0,0,0,3.49037,5.32806,4.15822,3.689e-05,3.689e-05,3.689e-05
2,17.4024,3.54334,5.72061,4.24821,0,0,0,0,3.48714,5.32881,4.15819,6.01259e-05,6.01259e-05,6.01259e-05
3,23.0937,3.55598,5.71215,4.23558,0,0,0,0,3.4837,5.32932,4.15834,6.82822e-05,6.82822e-05,6.82822e-05
4,29.1518,3.65276,5.77051,4.24243,0,0,0,0,3.47014,5.3234,4.15691,4.8314e-05,4.8314e-05,4.8314e-05
5,35.2309,3.60159,5.74701,4.2242,0,0,0,0,3.44702,5.30251,4.16424,2.4752e-05,2.4752e-05,2.4752e-05
