epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.773,2.24832,2.46046,1.535,0.39987,0.38478,0.34081,0.17502,2.20808,1.88774,1.3612,0.00332984,0.00332984,0.00332984
2,210.98,1.89255,1.91644,1.34048,0.55677,0.44713,0.46023,0.27168,2.09799,1.67342,1.29545,0.00653125,0.00653125,0.00653125
3,312.059,1.81006,1.79077,1.29377,0.43532,0.45685,0.40127,0.23744,2.06991,1.76515,1.28995,0.00960065,0.00960065,0.00960065
4,410.617,1.806,1.75204,1.27849,0.587,0.49769,0.52461,0.31716,2.0199,1.57875,1.23838,0.009406,0.009406,0.009406
5,510.284,1.75212,1.64905,1.2472,0.57888,0.51488,0.54081,0.34471,1.92306,1.4949,1.20649,0.009208,0.009208,0.009208
6,610.722,1.7174,1.60056,1.23312,0.62188,0.51151,0.55038,0.35424,1.88793,1.44572,1.19755,0.00901,0.00901,0.00901
7,710.918,1.67921,1.53226,1.22016,0.63222,0.54211,0.58554,0.38105,1.87895,1.39445,1.1754,0.008812,0.008812,0.008812
8,815.983,1.66372,1.49931,1.21021,0.68238,0.53353,0.58943,0.3846,1.85268,1.37712,1.16527,0.008614,0.008614,0.008614
9,920.943,1.65622,1.47844,1.2027,0.66356,0.55214,0.61117,0.39264,1.8576,1.34674,1.16655,0.008416,0.008416,0.008416
10,1021.04,1.64246,1.45222,1.19978,0.66366,0.54696,0.61057,0.39563,1.83025,1.33891,1.15646,0.008218,0.008218,0.008218
11,1120.64,1.61143,1.42013,1.18987,0.67844,0.56391,0.62393,0.41226,1.81335,1.31274,1.13583,0.00802,0.00802,0.00802
12,1222.41,1.61121,1.40196,1.18094,0.66597,0.57266,0.62094,0.4132,1.78913,1.2945,1.13084,0.007822,0.007822,0.007822
13,1321.92,1.59558,1.37393,1.17544,0.68464,0.5748,0.63107,0.42079,1.78236,1.27754,1.13013,0.007624,0.007624,0.007624
14,1423.54,1.59148,1.35976,1.17183,0.68229,0.59544,0.64967,0.43703,1.76424,1.27184,1.11964,0.007426,0.007426,0.007426
15,1521.69,1.59032,1.34319,1.16812,0.69825,0.57292,0.63789,0.42462,1.77951,1.26548,1.127,0.007228,0.007228,0.007228
